#t x y z vx vy vz
4.67 400.48 -94.09 164.32 26.35 -57.44 -20.61
4.68 400.75 -94.68 164.10 26.01 -57.36 -20.75
4.69 401.02 -95.27 163.89 25.67 -57.28 -20.89
4.70 401.28 -95.85 163.68 25.33 -57.20 -21.03
4.71 401.53 -96.44 163.46 24.99 -57.12 -21.17
4.72 401.79 -97.02 163.24 24.66 -57.03 -21.31
4.73 402.04 -97.60 163.02 24.32 -56.95 -21.44
4.74 402.28 -98.19 162.80 23.98 -56.87 -21.58
4.75 402.53 -98.77 162.58 23.65 -56.79 -21.72
4.76 402.77 -99.35 162.36 23.31 -56.71 -21.85
4.77 403.01 -99.93 162.14 22.97 -56.62 -21.99
4.78 403.24 -100.51 161.91 22.64 -56.54 -22.12
4.79 403.47 -101.08 161.68 22.30 -56.45 -22.26
4.80 403.69 -101.66 161.46 21.97 -56.37 -22.39
4.81 403.92 -102.24 161.23 21.63 -56.29 -22.53
4.82 404.14 -102.81 160.99 21.30 -56.20 -22.66
4.83 404.35 -103.39 160.76 20.96 -56.12 -22.79
4.84 404.57 -103.96 160.53 20.63 -56.03 -22.93
4.85 404.78 -104.53 160.29 20.30 -55.94 -23.06
4.86 404.98 -105.10 160.06 19.96 -55.86 -23.19
4.87 405.18 -105.67 159.82 19.63 -55.77 -23.32
4.88 405.38 -106.24 159.58 19.30 -55.68 -23.45
4.89 405.58 -106.81 159.34 18.97 -55.60 -23.58
4.90 405.77 -107.38 159.10 18.64 -55.51 -23.71
4.91 405.96 -107.95 158.85 18.30 -55.42 -23.84
4.92 406.14 -108.52 158.61 17.97 -55.33 -23.97
4.93 406.33 -109.08 158.36 17.64 -55.25 -24.10
4.94 406.51 -109.65 158.12 17.31 -55.16 -24.23
4.95 406.68 -110.21 157.87 16.98 -55.07 -24.36
4.96 406.85 -110.77 157.62 16.65 -54.98 -24.49
4.97 407.02 -111.33 157.37 16.32 -54.89 -24.62
4.98 407.19 -111.89 157.12 15.99 -54.80 -24.74
4.99 407.35 -112.45 156.86 15.66 -54.71 -24.87
5.00 407.51 -113.01 156.61 15.33 -54.62 -25.00
5.01 407.66 -113.57 156.35 15.01 -54.52 -25.12
5.02 407.81 -114.13 156.09 14.68 -54.43 -25.25
5.03 407.96 -114.68 155.83 14.35 -54.34 -25.38
5.04 408.11 -115.24 155.57 14.02 -54.25 -25.50
5.05 408.25 -115.79 155.31 13.69 -54.16 -25.63
5.06 408.39 -116.35 155.05 13.37 -54.06 -25.75
5.07 408.52 -116.90 154.79 13.04 -53.97 -25.88
5.08 408.65 -117.45 154.52 12.71 -53.88 -26.00
5.09 408.78 -118.00 154.25 12.39 -53.78 -26.12
5.10 408.91 -118.55 153.99 12.06 -53.69 -26.25
5.11 409.03 -119.10 153.72 11.73 -53.59 -26.37
5.12 409.15 -119.65 153.45 11.41 -53.50 -26.49
5.13 409.26 -120.19 153.17 11.08 -53.40 -26.61
5.14 409.37 -120.74 152.90 10.76 -53.31 -26.74
5.15 409.48 -121.28 152.63 10.43 -53.21 -26.86
5.16 409.59 -121.83 152.35 10.11 -53.11 -26.98
5.17 409.69 -122.37 152.08 9.78 -53.02 -27.10
5.18 409.79 -122.91 151.80 9.46 -52.92 -27.22
5.19 409.88 -123.45 151.52 9.13 -52.82 -27.34
5.20 409.97 -123.99 151.24 8.81 -52.72 -27.46
5.21 410.06 -124.53 150.96 8.48 -52.63 -27.58
5.22 410.15 -125.07 150.67 8.16 -52.53 -27.70
5.23 410.23 -125.61 150.39 7.84 -52.43 -27.82
5.24 410.31 -126.14 150.11 7.51 -52.33 -27.94
5.25 410.38 -126.68 149.82 7.19 -52.23 -28.06
5.26 410.46 -127.21 149.53 6.87 -52.13 -28.17
5.27 410.52 -127.74 149.24 6.54 -52.03 -28.29
5.28 410.59 -128.27 148.95 6.22 -51.93 -28.41
5.29 410.65 -128.81 148.66 5.90 -51.83 -28.53
5.30 410.71 -129.33 148.37 5.58 -51.73 -28.64
5.31 410.77 -129.86 148.08 5.25 -51.62 -28.76
5.32 410.82 -130.39 147.78 4.93 -51.52 -28.88
5.33 410.87 -130.92 147.49 4.61 -51.42 -28.99
5.34 410.91 -131.44 147.19 4.29 -51.32 -29.11
5.35 410.95 -131.97 146.89 3.97 -51.21 -29.22
5.36 410.99 -132.49 146.59 3.65 -51.11 -29.34
5.37 411.03 -133.01 146.29 3.33 -51.01 -29.45
5.38 411.06 -133.53 145.99 3.00 -50.90 -29.57
5.39 411.09 -134.05 145.69 2.68 -50.80 -29.68
5.40 411.12 -134.57 145.38 2.36 -50.69 -29.80
5.41 411.14 -135.09 145.08 2.04 -50.59 -29.91
5.42 411.16 -135.61 144.77 1.72 -50.48 -30.02
5.43 411.17 -136.12 144.46 1.40 -50.38 -30.14
5.44 411.19 -136.64 144.15 1.08 -50.27 -30.25
5.45 411.20 -137.15 143.84 0.76 -50.16 -30.36
5.46 411.20 -137.66 143.53 0.44 -50.06 -30.47
5.47 411.20 -138.17 143.22 0.12 -49.95 -30.58
5.48 411.20 -138.69 142.91 -0.20 -49.84 -30.70
5.49 411.20 -139.19 142.59 -0.52 -49.73 -30.81
5.50 411.19 -139.70 142.28 -0.84 -49.63 -30.92
5.51 411.18 -140.21 141.96 -1.16 -49.52 -31.03
5.52 411.17 -140.72 141.64 -1.48 -49.41 -31.14
5.53 411.15 -141.22 141.32 -1.80 -49.30 -31.25
5.54 411.13 -141.72 141.00 -2.12 -49.19 -31.36
5.55 411.11 -142.23 140.68 -2.44 -49.08 -31.47
5.56 411.08 -142.73 140.36 -2.75 -48.97 -31.58
5.57 411.05 -143.23 140.04 -3.07 -48.86 -31.69
5.58 411.02 -143.73 139.71 -3.39 -48.75 -31.80
5.59 410.98 -144.22 139.38 -3.71 -48.63 -31.91
5.60 410.94 -144.72 139.06 -4.03 -48.52 -32.01
5.61 410.90 -145.22 138.73 -4.35 -48.41 -32.12
5.62 410.86 -145.71 138.40 -4.67 -48.30 -32.23
5.63 410.81 -146.21 138.07 -4.99 -48.18 -32.34
5.64 410.75 -146.70 137.74 -5.30 -48.07 -32.44
5.65 410.70 -147.19 137.41 -5.62 -47.96 -32.55
5.66 410.64 -147.68 137.07 -5.94 -47.84 -32.66
5.67 410.58 -148.17 136.74 -6.26 -47.73 -32.76
5.68 410.51 -148.65 136.40 -6.58 -47.61 -32.87
5.69 410.44 -149.14 136.07 -6.90 -47.50 -32.98
5.70 410.37 -149.63 135.73 -7.21 -47.38 -33.08
5.71 410.29 -150.11 135.39 -7.53 -47.27 -33.19
5.72 410.22 -150.59 135.05 -7.85 -47.15 -33.29
5.73 410.13 -151.07 134.71 -8.17 -47.03 -33.40
5.74 410.05 -151.55 134.37 -8.49 -46.91 -33.50
5.75 409.96 -152.03 134.02 -8.80 -46.80 -33.61
5.76 409.87 -152.51 133.68 -9.12 -46.68 -33.71
5.77 409.77 -152.99 133.33 -9.44 -46.56 -33.81
5.78 409.68 -153.46 132.99 -9.76 -46.44 -33.92
5.79 409.57 -153.94 132.64 -10.08 -46.32 -34.02
5.80 409.47 -154.41 132.29 -10.39 -46.20 -34.12
5.81 409.36 -154.88 131.94 -10.71 -46.08 -34.23
5.82 409.25 -155.35 131.59 -11.03 -45.96 -34.33
5.83 409.14 -155.82 131.24 -11.35 -45.84 -34.43
5.84 409.02 -156.29 130.89 -11.66 -45.72 -34.53
5.85 408.90 -156.76 130.53 -11.98 -45.60 -34.64
5.86 408.77 -157.22 130.18 -12.30 -45.48 -34.74
5.87 408.65 -157.69 129.82 -12.62 -45.35 -34.84
5.88 408.52 -158.15 129.47 -12.94 -45.23 -34.94
5.89 408.38 -158.61 129.11 -13.25 -45.11 -35.04
5.90 408.24 -159.08 128.75 -13.57 -44.98 -35.14
5.91 408.10 -159.53 128.39 -13.89 -44.86 -35.24
5.92 407.96 -159.99 128.03 -14.21 -44.74 -35.34
5.93 407.81 -160.45 127.67 -14.53 -44.61 -35.44
5.94 407.66 -160.91 127.30 -14.84 -44.48 -35.54
5.95 407.51 -161.36 126.94 -15.16 -44.36 -35.64
5.96 407.35 -161.81 126.58 -15.48 -44.23 -35.74
5.97 407.19 -162.26 126.21 -15.80 -44.11 -35.84
5.98 407.03 -162.71 125.84 -16.12 -43.98 -35.94
5.99 406.86 -163.16 125.47 -16.43 -43.85 -36.04
6.00 406.69 -163.61 125.11 -16.75 -43.72 -36.13
6.01 406.52 -164.06 124.74 -17.07 -43.60 -36.23
6.02 406.34 -164.50 124.36 -17.39 -43.47 -36.33
6.03 406.16 -164.95 123.99 -17.71 -43.34 -36.43
6.04 405.98 -165.39 123.62 -18.03 -43.21 -36.53
6.05 405.80 -165.83 123.25 -18.34 -43.08 -36.62
6.06 405.61 -166.27 122.87 -18.66 -42.95 -36.72
6.07 405.41 -166.71 122.49 -18.98 -42.82 -36.82
6.08 405.22 -167.15 122.12 -19.30 -42.69 -36.91
6.09 405.02 -167.58 121.74 -19.62 -42.55 -37.01
6.10 404.82 -168.02 121.36 -19.94 -42.42 -37.10
6.11 404.61 -168.45 120.98 -20.26 -42.29 -37.20
6.12 404.40 -168.88 120.60 -20.58 -42.16 -37.30
6.13 404.19 -169.31 120.22 -20.90 -42.02 -37.39
6.14 403.98 -169.74 119.83 -21.22 -41.89 -37.49
6.15 403.76 -170.17 119.45 -21.53 -41.75 -37.58
6.16 403.53 -170.60 119.07 -21.85 -41.62 -37.68
6.17 403.31 -171.02 118.68 -22.17 -41.48 -37.77
6.18 403.08 -171.44 118.29 -22.49 -41.35 -37.86
6.19 402.85 -171.87 117.91 -22.81 -41.21 -37.96
6.20 402.61 -172.29 117.52 -23.13 -41.08 -38.05
6.21 402.38 -172.71 117.13 -23.45 -40.94 -38.15
6.22 402.13 -173.12 116.74 -23.77 -40.80 -38.24
6.23 401.89 -173.54 116.34 -24.09 -40.66 -38.33
6.24 401.64 -173.96 115.95 -24.41 -40.52 -38.43
6.25 401.39 -174.37 115.56 -24.73 -40.39 -38.52
6.26 401.14 -174.78 115.16 -25.05 -40.25 -38.61
6.27 400.88 -175.19 114.77 -25.37 -40.11 -38.70
6.28 400.62 -175.60 114.37 -25.70 -39.97 -38.79
6.29 400.35 -176.01 113.98 -26.02 -39.83 -38.89
6.30 400.09 -176.42 113.58 -26.34 -39.68 -38.98
6.31 399.81 -176.82 113.18 -26.66 -39.54 -39.07
6.32 399.54 -177.23 112.78 -26.98 -39.40 -39.16
6.33 399.26 -177.63 112.38 -27.30 -39.26 -39.25
6.34 398.98 -178.03 111.98 -27.62 -39.11 -39.34
6.35 398.70 -178.43 111.57 -27.95 -38.97 -39.43
6.36 398.41 -178.83 111.17 -28.27 -38.83 -39.52
6.37 398.12 -179.22 110.76 -28.59 -38.68 -39.61
6.38 397.82 -179.62 110.36 -28.91 -38.53 -39.70
6.39 397.53 -180.01 109.95 -29.23 -38.39 -39.79
6.40 397.23 -180.40 109.54 -29.56 -38.24 -39.88
6.41 396.92 -180.79 109.14 -29.88 -38.10 -39.97
6.42 396.62 -181.18 108.73 -30.20 -37.95 -40.06
6.43 396.31 -181.57 108.32 -30.53 -37.80 -40.15
6.44 395.99 -181.95 107.91 -30.85 -37.65 -40.24
6.45 395.67 -182.34 107.49 -31.17 -37.50 -40.33
6.46 395.35 -182.72 107.08 -31.50 -37.35 -40.41
6.47 395.03 -183.10 106.67 -31.82 -37.20 -40.50
6.48 394.70 -183.48 106.25 -32.15 -37.05 -40.59
6.49 394.37 -183.86 105.84 -32.47 -36.90 -40.68
6.50 394.04 -184.24 105.42 -32.79 -36.75 -40.76
6.51 393.70 -184.61 105.00 -33.12 -36.60 -40.85
6.52 393.36 -184.99 104.58 -33.44 -36.45 -40.94
6.53 393.02 -185.36 104.17 -33.77 -36.29 -41.02
6.54 392.67 -185.73 103.75 -34.10 -36.14 -41.11
6.55 392.32 -186.10 103.32 -34.42 -35.98 -41.20
6.56 391.97 -186.46 102.90 -34.75 -35.83 -41.28
6.57 391.61 -186.83 102.48 -35.07 -35.67 -41.37
6.58 391.25 -187.19 102.06 -35.40 -35.52 -41.45
6.59 390.89 -187.56 101.63 -35.73 -35.36 -41.54
6.60 390.52 -187.92 101.21 -36.05 -35.21 -41.63
6.61 390.15 -188.28 100.78 -36.38 -35.05 -41.71
6.62 389.77 -188.63 100.35 -36.71 -34.89 -41.80
6.63 389.40 -188.99 99.93 -37.04 -34.73 -41.88
6.64 389.02 -189.35 99.50 -37.36 -34.57 -41.96
6.65 388.63 -189.70 99.07 -37.69 -34.41 -42.05
6.66 388.25 -190.05 98.64 -38.02 -34.25 -42.13
6.67 387.86 -190.40 98.21 -38.35 -34.09 -42.22
6.68 387.46 -190.75 97.77 -38.68 -33.93 -42.30
6.69 387.06 -191.09 97.34 -39.01 -33.77 -42.38
6.70 386.66 -191.44 96.91 -39.34 -33.60 -42.47
6.71 386.26 -191.78 96.47 -39.67 -33.44 -42.55
6.72 385.85 -192.12 96.04 -40.00 -33.27 -42.63
6.73 385.44 -192.46 95.60 -40.33 -33.11 -42.71
6.74 385.03 -192.80 95.16 -40.66 -32.94 -42.80
6.75 384.61 -193.13 94.73 -40.99 -32.78 -42.88
6.76 384.19 -193.47 94.29 -41.32 -32.61 -42.96
6.77 383.76 -193.80 93.85 -41.65 -32.45 -43.04
6.78 383.34 -194.13 93.41 -41.98 -32.28 -43.12
6.79 382.91 -194.46 92.96 -42.31 -32.11 -43.20
6.80 382.47 -194.79 92.52 -42.65 -31.94 -43.28
6.81 382.03 -195.11 92.08 -42.98 -31.77 -43.36
6.82 381.59 -195.44 91.64 -43.31 -31.60 -43.44
6.83 381.15 -195.76 91.19 -43.65 -31.43 -43.53
6.84 380.70 -196.08 90.74 -43.98 -31.26 -43.61
6.85 380.25 -196.40 90.30 -44.31 -31.08 -43.68
6.86 379.79 -196.72 89.85 -44.65 -30.91 -43.76
6.87 379.33 -197.03 89.40 -44.98 -30.74 -43.84
6.88 378.87 -197.35 88.95 -45.32 -30.56 -43.92
6.89 378.41 -197.66 88.50 -45.65 -30.39 -44.00
6.90 377.94 -197.97 88.05 -45.99 -30.21 -44.08
6.91 377.47 -198.28 87.60 -46.33 -30.04 -44.16
6.92 376.99 -198.58 87.15 -46.66 -29.86 -44.24
6.93 376.51 -198.89 86.70 -47.00 -29.68 -44.32
6.94 376.03 -199.19 86.24 -47.34 -29.50 -44.39
6.95 375.54 -199.49 85.79 -47.68 -29.32 -44.47
6.96 375.06 -199.79 85.34 -48.01 -29.14 -44.55
6.97 374.56 -200.09 84.88 -48.35 -28.96 -44.63
6.98 374.07 -200.38 84.42 -48.69 -28.78 -44.70
6.99 373.57 -200.67 83.96 -49.03 -28.60 -44.78
7.00 373.06 -200.97 83.51 -49.37 -28.42 -44.86
7.01 372.56 -201.26 83.05 -49.71 -28.23 -44.93
7.02 372.05 -201.54 82.59 -50.05 -28.05 -45.01
7.03 371.53 -201.83 82.13 -50.39 -27.87 -45.08
7.04 371.02 -202.11 81.67 -50.73 -27.68 -45.16
7.05 370.50 -202.40 81.20 -51.07 -27.49 -45.23
7.06 369.97 -202.68 80.74 -51.42 -27.31 -45.31
7.07 369.44 -202.95 80.28 -51.76 -27.12 -45.38
7.08 368.91 -203.23 79.81 -52.10 -26.93 -45.46
7.09 368.38 -203.51 79.35 -52.44 -26.74 -45.53
7.10 367.84 -203.78 78.88 -52.79 -26.55 -45.61
7.11 367.30 -204.05 78.41 -53.13 -26.36 -45.68
7.12 366.75 -204.32 77.95 -53.48 -26.17 -45.76
7.13 366.20 -204.58 77.48 -53.82 -25.97 -45.83
7.14 365.65 -204.85 77.01 -54.17 -25.78 -45.90
7.15 365.10 -205.11 76.54 -54.51 -25.59 -45.98
7.16 364.54 -205.37 76.07 -54.86 -25.39 -46.05
7.17 363.97 -205.63 75.60 -55.21 -25.20 -46.12
7.18 363.41 -205.89 75.12 -55.56 -25.00 -46.19
7.19 362.84 -206.14 74.65 -55.90 -24.80 -46.27
7.20 362.26 -206.39 74.18 -56.25 -24.60 -46.34
7.21 361.69 -206.64 73.70 -56.60 -24.41 -46.41
7.22 361.11 -206.89 73.23 -56.95 -24.21 -46.48
7.23 360.52 -207.14 72.75 -57.30 -24.00 -46.55
7.24 359.93 -207.38 72.28 -57.65 -23.80 -46.62
7.25 359.34 -207.63 71.80 -58.00 -23.60 -46.69
7.26 358.75 -207.87 71.32 -58.35 -23.40 -46.76
7.27 358.15 -208.11 70.84 -58.70 -23.19 -46.83
7.28 357.55 -208.34 70.36 -59.06 -22.99 -46.90
7.29 356.94 -208.58 69.88 -59.41 -22.78 -46.97
7.30 356.33 -208.81 69.40 -59.76 -22.57 -47.04
7.31 355.72 -209.04 68.92 -60.12 -22.37 -47.11
7.32 355.10 -209.27 68.44 -60.47 -22.16 -47.18
7.33 354.48 -209.49 67.96 -60.83 -21.95 -47.25
7.34 353.86 -209.71 67.47 -61.18 -21.74 -47.32
7.35 353.23 -209.94 66.99 -61.54 -21.53 -47.39
7.36 352.60 -210.15 66.50 -61.90 -21.31 -47.45
7.37 351.96 -210.37 66.02 -62.25 -21.10 -47.52
7.38 351.33 -210.59 65.53 -62.61 -20.89 -47.59
7.39 350.68 -210.80 65.04 -62.97 -20.67 -47.66
7.40 350.04 -211.01 64.56 -63.33 -20.46 -47.72
7.41 349.39 -211.22 64.07 -63.69 -20.24 -47.79
7.42 348.74 -211.42 63.58 -64.05 -20.02 -47.86
7.43 348.08 -211.63 63.09 -64.41 -19.80 -47.92
7.44 347.42 -211.83 62.60 -64.77 -19.58 -47.99
7.45 346.75 -212.03 62.11 -65.14 -19.36 -48.05
7.46 346.09 -212.22 61.62 -65.50 -19.14 -48.12
7.47 345.41 -212.42 61.12 -65.86 -18.91 -48.18
7.48 344.74 -212.61 60.63 -66.23 -18.69 -48.25
7.49 344.06 -212.80 60.14 -66.59 -18.46 -48.31
7.50 343.38 -212.99 59.64 -66.96 -18.24 -48.38
7.51 342.69 -213.17 59.15 -67.32 -18.01 -48.44
7.52 342.00 -213.36 58.65 -67.69 -17.78 -48.50
7.53 341.31 -213.54 58.16 -68.06 -17.55 -48.57
7.54 340.61 -213.72 57.66 -68.42 -17.32 -48.63
7.55 339.91 -213.89 57.16 -68.79 -17.09 -48.69
7.56 339.20 -214.07 56.66 -69.16 -16.86 -48.75
7.57 338.49 -214.24 56.16 -69.53 -16.62 -48.82
7.58 337.78 -214.41 55.66 -69.90 -16.39 -48.88
7.59 337.06 -214.57 55.16 -70.27 -16.15 -48.94
7.60 336.34 -214.74 54.66 -70.65 -15.92 -49.00
7.61 335.62 -214.90 54.16 -71.02 -15.68 -49.06
7.62 334.89 -215.06 53.66 -71.39 -15.44 -49.12
7.63 334.16 -215.21 53.16 -71.77 -15.20 -49.18
7.64 333.42 -215.37 52.65 -72.14 -14.96 -49.24
7.65 332.68 -215.52 52.15 -72.52 -14.71 -49.30
7.66 331.94 -215.67 51.65 -72.89 -14.47 -49.36
7.67 331.19 -215.81 51.14 -73.27 -14.22 -49.42
7.68 330.44 -215.96 50.63 -73.65 -13.98 -49.48
7.69 329.68 -216.10 50.13 -74.03 -13.73 -49.54
7.70 328.92 -216.24 49.62 -74.41 -13.48 -49.59
7.71 328.16 -216.38 49.11 -74.79 -13.23 -49.65
7.72 327.39 -216.51 48.61 -75.17 -12.98 -49.71
7.73 326.62 -216.64 48.10 -75.55 -12.72 -49.77
7.74 325.85 -216.77 47.59 -75.93 -12.47 -49.82
7.75 325.07 -216.90 47.08 -76.32 -12.21 -49.88
7.76 324.29 -217.02 46.57 -76.70 -11.96 -49.93
7.77 323.50 -217.14 46.06 -77.09 -11.70 -49.99
7.78 322.71 -217.26 45.55 -77.47 -11.44 -50.04
7.79 321.92 -217.38 45.03 -77.86 -11.18 -50.10
7.80 321.12 -217.49 44.52 -78.25 -10.92 -50.15
7.81 320.32 -217.60 44.01 -78.63 -10.65 -50.21
7.82 319.51 -217.71 43.49 -79.02 -10.39 -50.26
7.83 318.70 -217.81 42.98 -79.41 -10.12 -50.31
7.84 317.89 -217.91 42.46 -79.81 -9.85 -50.37
7.85 317.07 -218.01 41.95 -80.20 -9.59 -50.42
7.86 316.25 -218.11 41.43 -80.59 -9.32 -50.47
7.87 315.42 -218.20 40.92 -80.98 -9.04 -50.52
7.88 314.59 -218.29 40.40 -81.38 -8.77 -50.58
7.89 313.75 -218.38 39.88 -81.77 -8.50 -50.63
7.90 312.92 -218.47 39.36 -82.17 -8.22 -50.68
7.91 312.07 -218.55 38.85 -82.57 -7.94 -50.73
7.92 311.23 -218.63 38.33 -82.97 -7.66 -50.78
7.93 310.38 -218.71 37.81 -83.36 -7.38 -50.83
7.94 309.52 -218.78 37.29 -83.76 -7.10 -50.88
7.95 308.66 -218.85 36.77 -84.17 -6.81 -50.92
7.96 307.80 -218.92 36.25 -84.57 -6.53 -50.97
7.97 306.93 -218.99 35.72 -84.97 -6.24 -51.02
7.98 306.06 -219.05 35.20 -85.37 -5.95 -51.07
7.99 305.19 -219.11 34.68 -85.78 -5.66 -51.11
8.00 304.31 -219.16 34.16 -86.19 -5.37 -51.16
8.01 303.42 -219.22 33.63 -86.59 -5.08 -51.21
8.02 302.54 -219.27 33.11 -87.00 -4.78 -51.25
8.03 301.65 -219.32 32.58 -87.41 -4.49 -51.30
8.04 300.75 -219.36 32.06 -87.82 -4.19 -51.34
8.05 299.85 -219.40 31.53 -88.23 -3.89 -51.38
8.06 298.94 -219.44 31.01 -88.64 -3.58 -51.43
8.07 298.04 -219.47 30.48 -89.06 -3.28 -51.47
8.08 297.12 -219.51 29.96 -89.47 -2.98 -51.51
8.09 296.21 -219.54 29.43 -89.89 -2.67 -51.56
8.10 295.28 -219.56 28.90 -90.30 -2.36 -51.60
8.11 294.36 -219.58 28.37 -90.72 -2.05 -51.64
8.12 293.43 -219.60 27.84 -91.14 -1.73 -51.68
8.13 292.49 -219.62 27.32 -91.56 -1.42 -51.72
8.14 291.56 -219.63 26.79 -91.98 -1.10 -51.76
8.15 290.61 -219.64 26.26 -92.40 -0.79 -51.80
8.16 289.67 -219.65 25.73 -92.82 -0.46 -51.84
8.17 288.71 -219.65 25.20 -93.25 -0.14 -51.87
8.18 287.76 -219.65 24.67 -93.67 0.18 -51.91
8.19 286.80 -219.65 24.14 -94.10 0.51 -51.95
8.20 285.83 -219.64 23.60 -94.53 0.84 -51.98
8.21 284.86 -219.63 23.07 -94.96 1.17 -52.02
8.22 283.89 -219.62 22.54 -95.39 1.50 -52.06
8.23 282.91 -219.60 22.01 -95.82 1.83 -52.09
8.24 281.93 -219.58 21.47 -96.25 2.17 -52.12
8.25 280.95 -219.56 20.94 -96.69 2.51 -52.16
8.26 279.95 -219.53 20.41 -97.12 2.85 -52.19
8.27 278.96 -219.50 19.87 -97.56 3.19 -52.22
8.28 277.96 -219.46 19.34 -98.00 3.54 -52.25
8.29 276.95 -219.42 18.80 -98.43 3.88 -52.28
8.30 275.95 -219.38 18.27 -98.87 4.23 -52.31
8.31 274.93 -219.34 17.73 -99.32 4.58 -52.34
8.32 273.91 -219.29 17.20 -99.76 4.94 -52.37
8.33 272.89 -219.24 16.66 -100.20 5.29 -52.40
8.34 271.86 -219.18 16.13 -100.65 5.65 -52.43
8.35 270.83 -219.12 15.59 -101.10 6.01 -52.45
8.36 269.80 -219.06 15.05 -101.54 6.38 -52.48
8.37 268.76 -218.99 14.52 -101.99 6.74 -52.51
8.38 267.71 -218.92 13.98 -102.44 7.11 -52.53
8.39 266.66 -218.85 13.44 -102.90 7.48 -52.55
8.40 265.61 -218.77 12.91 -103.35 7.86 -52.58
8.41 264.55 -218.68 12.37 -103.81 8.23 -52.60
8.42 263.48 -218.60 11.83 -104.26 8.61 -52.62
8.43 262.41 -218.51 11.29 -104.72 8.99 -52.64
8.44 261.34 -218.41 10.75 -105.18 9.37 -52.66
8.45 260.26 -218.32 10.21 -105.64 9.76 -52.68
8.46 259.18 -218.22 9.68 -106.10 10.15 -52.70
8.47 258.09 -218.11 9.14 -106.57 10.54 -52.72
8.48 257.00 -218.00 8.60 -107.03 10.93 -52.73
8.49 255.90 -217.89 8.06 -107.50 11.33 -52.75
8.50 254.80 -217.77 7.52 -107.97 11.73 -52.76
8.51 253.69 -217.65 6.98 -108.44 12.13 -52.78
8.52 252.58 -217.52 6.44 -108.91 12.54 -52.79
8.53 251.47 -217.39 5.90 -109.39 12.95 -52.80
8.54 250.35 -217.25 5.36 -109.86 13.36 -52.82
8.55 249.22 -217.12 4.82 -110.34 13.77 -52.83
8.56 248.09 -216.97 4.28 -110.82 14.19 -52.84
8.57 246.95 -216.83 3.74 -111.29 14.61 -52.84
8.58 245.81 -216.67 3.20 -111.78 15.03 -52.85
8.59 244.67 -216.52 2.66 -112.26 15.46 -52.86
8.60 243.52 -216.36 2.12 -112.74 15.89 -52.86
8.61 242.36 -216.19 1.58 -113.23 16.32 -52.87
8.62 241.20 -216.02 1.03 -113.72 16.76 -52.87
8.63 240.03 -215.85 0.49 -114.21 17.20 -52.87
8.64 238.86 -215.67 -0.05 -114.70 17.64 -52.87
8.65 237.69 -215.49 -0.59 -115.19 18.09 -52.87
8.66 236.51 -215.30 -1.13 -115.69 18.54 -52.87
8.67 235.32 -215.11 -1.67 -116.19 18.99 -52.87
8.68 234.13 -214.91 -2.21 -116.69 19.45 -52.86
8.69 232.93 -214.71 -2.75 -117.19 19.91 -52.86
8.70 231.73 -214.51 -3.29 -117.69 20.37 -52.85
8.71 230.53 -214.30 -3.83 -118.19 20.84 -52.84
8.72 229.32 -214.08 -4.37 -118.70 21.31 -52.83
8.73 228.10 -213.86 -4.91 -119.21 21.79 -52.82
8.74 226.88 -213.63 -5.45 -119.72 22.27 -52.81
8.75 225.65 -213.40 -5.99 -120.23 22.75 -52.79
8.76 224.42 -213.17 -6.53 -120.74 23.24 -52.78
8.77 223.18 -212.93 -7.07 -121.26 23.73 -52.76
8.78 221.94 -212.68 -7.61 -121.77 24.22 -52.74
8.79 220.69 -212.43 -8.15 -122.29 24.72 -52.72
8.80 219.44 -212.18 -8.69 -122.82 25.23 -52.70
8.81 218.18 -211.92 -9.23 -123.34 25.73 -52.68
8.82 216.91 -211.65 -9.77 -123.86 26.24 -52.66
8.83 215.64 -211.38 -10.31 -124.39 26.76 -52.63
8.84 214.37 -211.10 -10.84 -124.92 27.28 -52.60
8.85 213.09 -210.82 -11.38 -125.45 27.81 -52.58
8.86 211.80 -210.54 -11.92 -125.99 28.33 -52.55
8.87 210.51 -210.24 -12.46 -126.52 28.87 -52.51
8.88 209.22 -209.94 -12.99 -127.06 29.41 -52.48
8.89 207.91 -209.64 -13.53 -127.60 29.95 -52.44
8.90 206.61 -209.33 -14.07 -128.14 30.50 -52.41
8.91 205.29 -209.02 -14.60 -128.69 31.05 -52.37
8.92 203.97 -208.70 -15.14 -129.23 31.61 -52.33
8.93 202.65 -208.37 -15.67 -129.78 32.17 -52.29
8.94 201.32 -208.04 -16.21 -130.33 32.74 -52.24
8.95 199.98 -207.70 -16.74 -130.89 33.31 -52.19
8.96 198.64 -207.36 -17.27 -131.44 33.89 -52.15
8.97 197.29 -207.01 -17.81 -132.00 34.47 -52.10
8.98 195.94 -206.65 -18.34 -132.56 35.06 -52.04
8.99 194.58 -206.29 -18.87 -133.12 35.66 -51.99
9.00 193.22 -205.92 -19.40 -133.69 36.26 -51.93
9.01 191.85 -205.55 -19.93 -134.25 36.86 -51.87
9.02 190.47 -205.17 -20.46 -134.82 37.47 -51.81
9.03 189.09 -204.78 -20.99 -135.39 38.09 -51.75
9.04 187.70 -204.39 -21.52 -135.97 38.72 -51.68
9.05 186.31 -203.99 -22.05 -136.54 39.34 -51.61
9.06 184.91 -203.58 -22.58 -137.12 39.98 -51.54
9.07 183.51 -203.17 -23.10 -137.70 40.62 -51.47
